Health,sample,Type,Host,Family,Genus,Species,rpm,coverage,lg_rpm_1
Healthy,UN_MBO191000,Oral,Manis javanica,Papillomaviridae,unclassified Papillomaviridae genus,Manis javanica papillomavirus 1,14.4344,99.8377,1.188489751
Healthy,UN_MBO191000,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,15.4949,99.9252,1.217349687
Healthy,UN_MBO191001,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Densovirinae sp,12.6412,99.3514,1.134852576
Healthy,UN_MBO191002,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,9.71088,100,1.029825154
Healthy,UN_MBO191002,Oral,Manis javanica,Picornaviridae,Hunnivirus,Pangolin hunnivirus,2.65045,99.9811,0.562346404
Healthy,UN_MBO191003,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Densovirinae sp,9.70186,100,1.029459265
Healthy,UN_MBO191004,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,4.982,99.3265,0.776846409
Healthy,UN_MBO191005,Oral,Manis javanica,Circoviridae,Circovirus,Pangolin circovirus B3,131.222,100,2.121303722
Healthy,UN_MBO191007,Oral,Manis javanica,Circoviridae,Circovirus,Pangolin circovirus T3,5.3796,100,0.804793449
Healthy,UN_MBO191007,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,4.92351,99.6054,0.772579126
Healthy,UN_MBO191009,Oral,Manis javanica,Circoviridae,Circovirus,Pangolin circovirus B3,263.403,100,2.422266378
Healthy,UN_MBO191010,Oral,Manis javanica,Circoviridae,Circovirus,Pangolin circovirus T3,5.41732,99.9404,0.807353696
Healthy,UN_MBO191013,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Densovirinae sp,6.17185,97.2197,0.855631198
Healthy,UN_MBO191017,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,7.50226,98.8779,0.929534382
